"Time","Grid load"
2023-01-01 00:00:00,28201
2023-01-01 00:15:00,27788
2023-01-01 00:30:00,2786
2023-01-01 00:45:00,2772
2023-01-01 01:00:00,27317
2023-01-01 01:15:00,26711
2023-01-01 01:30:00,26186
2023-01-01 01:45:00,2559
2023-01-01 02:00:00,25107
2023-01-01 02:15:00,24484
2023-01-01 02:30:00,24027
2023-01-01 02:45:00,23507
2023-01-01 03:00:00,23129
2023-01-01 03:15:00,227
2023-01-01 03:30:00,22222
2023-01-01 03:45:00,21838
2023-01-01 04:00:00,2166
2023-01-01 04:15:00,21279
2023-01-01 04:30:00,2114
2023-01-01 04:45:00,20906
2023-01-01 05:00:00,20954
2023-01-01 05:15:00,20739
2023-01-01 05:30:00,20426
2023-01-01 05:45:00,2028
2023-01-01 06:00:00,19798
2023-01-01 06:15:00,19534
2023-01-01 06:30:00,19611
2023-01-01 06:45:00,19649
2023-01-01 07:00:00,19954
2023-01-01 07:15:00,2036
2023-01-01 07:30:00,20801
2023-01-01 07:45:00,21931
2023-01-01 08:00:00,22887
2023-01-01 08:15:00,23687
2023-01-01 08:30:00,24903
2023-01-01 08:45:00,26252
2023-01-01 09:00:00,27422
2023-01-01 09:15:00,28521
2023-01-01 09:30:00,29319
2023-01-01 09:45:00,30258
2023-01-01 10:00:00,31211
2023-01-01 10:15:00,32407
2023-01-01 10:30:00,33628
2023-01-01 10:45:00,34919
2023-01-01 11:00:00,36306
2023-01-01 11:15:00,38418
2023-01-01 11:30:00,40054
2023-01-01 11:45:00,40872
2023-01-01 12:00:00,41492
2023-01-01 12:15:00,4159
2023-01-01 12:30:00,41127
2023-01-01 12:45:00,40682
2023-01-01 13:00:00,39858
2023-01-01 13:15:00,38832
2023-01-01 13:30:00,38271
2023-01-01 13:45:00,38245
2023-01-01 14:00:00,38351
2023-01-01 14:15:00,38215
2023-01-01 14:30:00,38404
2023-01-01 14:45:00,38272
2023-01-01 15:00:00,3896
2023-01-01 15:15:00,38981
2023-01-01 15:30:00,39523
2023-01-01 15:45:00,39957
2023-01-01 16:00:00,41425
2023-01-01 16:15:00,431
2023-01-01 16:30:00,45307
2023-01-01 16:45:00,46734
2023-01-01 17:00:00,47826
2023-01-01 17:15:00,48631
2023-01-01 17:30:00,49295
2023-01-01 17:45:00,49776
2023-01-01 18:00:00,50338
2023-01-01 18:15:00,50526
2023-01-01 18:30:00,50457
2023-01-01 18:45:00,49713
2023-01-01 19:00:00,48843
2023-01-01 19:15:00,47805
2023-01-01 19:30:00,46571
2023-01-01 19:45:00,45474
2023-01-01 20:00:00,44401
2023-01-01 20:15:00,42962
2023-01-01 20:30:00,41704
2023-01-01 20:45:00,40653
2023-01-01 21:00:00,39535
2023-01-01 21:15:00,38312
2023-01-01 21:30:00,37398
2023-01-01 21:45:00,36554
2023-01-01 22:00:00,3534
2023-01-01 22:15:00,33897
2023-01-01 22:30:00,32529
2023-01-01 22:45:00,31174
2023-01-01 23:00:00,29752
2023-01-01 23:15:00,28606
2023-01-01 23:30:00,27167
2023-01-01 23:45:00,25932
2023-01-02 00:00:00,271
2023-01-02 00:15:00,2613
2023-01-02 00:30:00,25176
2023-01-02 00:45:00,24353
2023-01-02 01:00:00,22507
2023-01-02 01:15:00,23012
2023-01-02 01:30:00,22597
2023-01-02 01:45:00,22147
2023-01-02 02:00:00,21943
2023-01-02 02:15:00,21743
2023-01-02 02:30:00,21573
2023-01-02 02:45:00,2145
2023-01-02 03:00:00,21378
2023-01-02 03:15:00,21241
2023-01-02 03:30:00,21187
2023-01-02 03:45:00,21134
2023-01-02 04:00:00,21202
2023-01-02 04:15:00,21141
2023-01-02 04:30:00,21053
2023-01-02 04:45:00,21156
2023-01-02 05:00:00,21324
2023-01-02 05:15:00,21268
2023-01-02 05:30:00,21159
2023-01-02 05:45:00,21174
2023-01-02 06:00:00,20901
2023-01-02 06:15:00,21063
2023-01-02 06:30:00,2135
2023-01-02 06:45:00,21952
2023-01-02 07:00:00,22997
2023-01-02 07:15:00,24262
2023-01-02 07:30:00,2618
2023-01-02 07:45:00,28428
2023-01-02 08:00:00,30861
2023-01-02 08:15:00,3352
2023-01-02 08:30:00,35929
2023-01-02 08:45:00,37942
2023-01-02 09:00:00,39541
2023-01-02 09:15:00,4105
2023-01-02 09:30:00,42188
2023-01-02 09:45:00,43169
2023-01-02 10:00:00,44198
2023-01-02 10:15:00,45381
2023-01-02 10:30:00,4658
2023-01-02 10:45:00,47893
2023-01-02 11:00:00,49909
2023-01-02 11:15:00,52168
2023-01-02 11:30:00,53949
2023-01-02 11:45:00,54486
2023-01-02 12:00:00,53888
